,line_no,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
0,1,삼계기점,공원묘지입구,삼계서희,삼계동원로얄듀크,가야대학교,현대가야아이파크,삼계축협,매정공원,구지마을,매정마을,구산신주공아파트,광남백조아파트,청소년문화의집,김해여고,농협김해시지부,국민은행,신한은행,중앙지구대,금강병원,부원역,김해시청,복음병원입구,복음병원,활천동,삼성초등학교,송림공원,어방2주공아파트,어방마을,인제대학교,인제공원,삼방동장애인복지관,영운초등학교,화인아파트,삼방시장,동성아파트,신어중학교,계내,한일여고,안동문화의집,경남은행,지내동입구,활천초등학교,못안마을,안동육거리,한일여고,계내,한샘베스트빌라,신어중학교,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,어방마을,어방2주공아파트,송림공원,삼성초등학교,활천동,복음병원,복음병원입구,김해시청,한솔병원,부원역,금강병원,중앙지구대,신한은행,농협김해시지부,김해여고,청소년문화의집,광남백조아파트,구산신주공아파트,매정마을,구지마을,매정공원,삼계축협,현대가야아이파크,가야대학교,두곡마을,삼계서희,공원묘지입구,삼계차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1-1,삼계기점,공원묘지입구,신명마을,감분마을,삼계푸르지오1차,가야대역,북부동행정복지센터,장신대역,삼계푸르지오2차,구지마을,매정마을,구산신주공아파트,광남백조아파트,청소년문화의집,김해여고,농협김해시지부,국민은행,신한은행,중앙지구대,금강병원,부원역,김해시청,복음병원입구,복음병원,활천동,삼성초등학교,송림공원,어방2주공아파트,어방마을,인제대학교,인제공원,삼방동장애인복지관,영운초등학교,화인아파트,삼방시장,동성아파트,신어중학교,계내,한일여고,안동사거리,안동공단,안동공단입구,김해대학역,경남은행,지내동입구,활천초등학교,못안마을,안동육거리,한일여고,계내,한샘베스트빌라,신어중학교,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,어방마을,어방2주공아파트,송림공원,삼성초등학교,활천동,복음병원,복음병원입구,김해시청,한솔병원,부원역,금강병원,중앙지구대,신한은행,농협김해시지부,김해여고,청소년문화의집,광남백조아파트,구산신주공아파트,매정마을,구지마을,삼계푸르지오2차,장신대역,북부동행정복지센터,가야대역,삼계푸르지오1차,감분마을,신명마을,공원묘지입구,삼계차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,진영단감농협,진영휴먼시아,진영LH6단지,센텀큐브,부평,진영중학교,진영자이,중흥S클래스,진영휴먼빌,주호,용성,본산,금봉마을입구,봉하삼거리,봉하입구,봉하,봉하입구,봉하삼거리,금봉마을입구,본산,용성,주호,진영휴먼빌,중흥S클래스,진영자이,진영코아루,진영중학교,부평,센텀큐브,진영LH6단지,진영휴먼시아,진영단감농협,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100,풍유동차고지,풍유동차고지앞,풍유동,청호아트빌,흥동3통,흥동1통,흥동2통,흥동4통,봉황초등학교,동아그린앞,무접,한국1차아파트,오복당서점,현대2차아파트,삼성아파트,연지우체국,홈플러스,학생체육관(연지공원),연지공원,현대병원,구산육거리,롯데캐슬1단지,롯데캐슬,한덕아파트,활천고개,선거관리위원회,미소지움아파트,SK브로드밴드,자성공원,어방마을,인제대학교,인제공원,삼방교,삼방고등학교,동부스포츠센터,김해대학입구,김해대학교,삼방고등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,어방마을,자성공원,SK브로드밴드,미소지움아파트,선거관리위원회,활천고개,한덕아파트,롯데캐슬,롯데캐슬1단지,구산육거리,현대병원,연지공원,학생체육관(연지공원),휴앤락,대우아파트,삼성아파트,현대2차아파트,오복당서점,무접마을,무접,동아그린아파트,봉황초등학교,흥동4통,흥동2통,흥동1통,흥동3통,느타리공원,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,상룡,용담마을,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,진영농협,중구,삼성아파트,부곡,거성아파트,대근아파트,좌곤,금산초등학교,진영국토관리사무소,동산,사산,자여,외단계,서천,우동,오척,하계,대정마을,방동,보훈요양원,동산,진영국토관리사무소,좌곤육교,좌곤,대근아파트,거성아파트,부곡,삼성아파트,중구,진영농협,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,용담마을,상룡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11A,상룡,효동마을,아랫양지,윗양지,용전,제일고등학교,진영시외주차장,진영농협,중구,삼성아파트,부곡,거성아파트,대근아파트,좌곤,금산초등학교,진영국토관리사무소,동산,사산,자여,외단계,서천,우동,오척,하계,대정마을,방동,보훈요양원,동산,진영국토관리사무소,좌곤육교,좌곤,대근아파트,거성아파트,부곡,삼성아파트,중구,진영농협,진영시외주차장,제일고등학교,용전,윗양지,아랫양지,효동마을,상룡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,진영공설운동장,진영공설운동장,진영병원,삼성아파트,부곡,신우희가로,중흥에코시티,진영이진캐스빌,진영자이,진영코아루,진영중학교,부평,센텀큐브,진영LH6단지,진영휴먼시아,진영단감농협,진영시외주차장,장복아파트,진영국민주택,원창시인의마을,금병공원,진우원,하계,대정마을,방동,보훈요양원,동산,진영국토관리사무소,금산초등학교,금산초등학교,진영국토관리사무소,동산,보훈요양원,방동,대정마을,하계,진우원,금병공원,원창시인의마을,진영국민주택,장복아파트,진영시외주차장,진영단감농협,진영휴먼시아,진영LH6단지,센텀큐브,부평,진영중학교,진영자이,진영이진캐스빌,중흥에코시티,신우희가로,부곡,삼성아파트,진영병원,진영공설운동장,진영공설운동장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,임시계류장,무계e-편한,장유농협,장유우체국,장유1동행정복지센터,코아상가,부영2차아파트,갑을장유병원,부영13차아파트,부곡,냉정사터,냉정회관,윗냉정,냉정마을,산본,신월마을,화전마을,신안,초전,평지마을입구,산월,진례파출소,진례농협,클레이아크김해미술관,진례백조아파트,진례중학교,돈담,강변농협,강변마을,담안,하평,진례역,대일화학,유니엠텍,동아HI,고창테크,고모교,고모마을,신모,빙그레삼거리,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레삼거리,신모,고모마을,고모교,고창테크,동아HI,유니엠텍,대일화학,진례역,하평,담안,강변마을,강변농협,돈담,진례중학교,진례백조아파트,진례파출소,산월,평지마을입구,초전,신안,화전마을,신월마을,산본,냉정마을,윗냉정,냉정회관,냉정사터,부곡,부영13차아파트,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유우체국,장유농협,남명더라우,무계e-편한,임시계류장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14-1,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),무접,한국1차아파트,오복당서점,현대2차아파트,삼성아파트,연지우체국,홈플러스,김해문화의전당,백조아파트후문,구산로타리,구산동우체국,구산동원아파트,한일유엔아이,노인복지회관,부영6차아파트,조은금강병원,동신아파트,감분,망천2구,망천1구,신천,명동정수장,금음,인현,명동,새마을,소업마을,소업,신기,빙그레,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영휴먼시아 정문,진영LH6단지,센텀큐브,부평,금병초등학교,중흥S클래스,서재골공원,주천교,진영패션아울렛입구,진영패션아울렛입구,중포교,진영농협직판장,서재골공원,중흥S클래스,금병초등학교,부평,센텀큐브,진영LH6단지,진영휴먼시아 정문,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레,신기,소업,소업마을,새마을,명동,인현,금음,신천,망천1구,망천2구,동신아파트,조은금강병원,부영6차아파트,노인복지회관,한일유엔아이,구산동원아파트,구산동우체국,구산로타리,백조아파트후문,김해문화의전당,휴앤락,대우아파트,삼성아파트,현대2차아파트,오복당서점,무접마을,김해보건소,이마트 신세계백화점,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14-1A,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),무접,한국1차아파트,오복당서점,현대2차아파트,삼성아파트,연지우체국,홈플러스,김해문화의전당,백조아파트후문,구산로타리,구산동우체국,구산동원아파트,한일유엔아이,노인복지회관,부영6차아파트,조은금강병원,동신아파트,감분,망천2구,망천1구,신천,명동정수장,금음,인현,명동,새마을,소업마을,소업,신기,빙그레,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영휴먼시아 정문,진영LH6단지,센텀큐브,부평,금병초등학교,중흥S클래스,진영자이,진영중앙초등학교,서재골공원,중흥S클래스,금병초등학교,부평,센텀큐브,진영LH6단지,진영휴먼시아 정문,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레,신기,소업,소업마을,새마을,명동,인현,금음,신천,망천1구,망천2구,동신아파트,조은금강병원,부영6차아파트,노인복지회관,한일유엔아이,구산동원아파트,구산동우체국,구산로타리,백조아파트후문,김해문화의전당,휴앤락,대우아파트,삼성아파트,현대2차아파트,오복당서점,무접마을,김해보건소,이마트 신세계백화점,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,140,김해여객터미널(종점),무접,이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,농협김해시지부,김해여고,청소년문화의집,광남백조아파트,구산동우체국,구산동원아파트,한일유엔아이,노인복지회관,부영6차아파트,조은금강병원,동신아파트,감분,망천2구,망천1구,신천,명동정수장,금음,인현,명동,새마을,소업마을,소업,신기,빙그레,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,진영농협,중구,삼성아파트,부곡,거성아파트,대근아파트,좌곤,좌곤육교,무성마을입구,자여사거리,동읍지구대,용잠삼거리,동읍덕산마을,용전.남산마을입구,용암,용강검문소,도계동만남의광장,금호온천,소답동,의창동환승센터,윤병원,태광주유소,서상삼거리,창원역,한국전력,마산시외버스터미널,한국전력,창원역,서상삼거리,참사랑병원앞,윤병원,의창동환승센터,소답동,도계동만남의광장,용강검문소,용암,용전입구,동읍덕산마을,용잠삼거리,동읍지구대,자여사거리,무성마을입구,좌곤육교,좌곤,대근아파트,거성아파트,부곡,삼성아파트,중구,진영농협,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레,신기,소업,소업마을,새마을,명동,인현,금음,신천,망천1구,망천2구,동신아파트,조은금강병원,부영6차아파트,노인복지회관,한일유엔아이,구산동원아파트,구산동우체국,광남백조아파트,청소년문화의집,김해여고,농협김해시지부,국민은행,신한은행,중앙지구대,금강병원,김해중부경찰서,김해여객터미널(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레삼거리,신모,고모마을,고모,상우,서창,계명티아이,유니테크,개동,상평,담안,담안마을,오룡,당리,학성,강변농협,돈담,진례중학교,진례백조아파트,진례파출소,산월,평지마을입구,초전,신안,화전마을,신월마을,산본,냉정마을,윗냉정,냉정회관,냉정사터,부곡,부영13차아파트,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유우체국,장유농협,남명더라우,무계e-편한,임시계류장,무계e-편한,장유농협,장유우체국,장유1동행정복지센터,코아상가,부영2차아파트,갑을장유병원,부영13차아파트,부곡,냉정사터,냉정회관,윗냉정,냉정마을,산본,신월마을,화전마을,신안,초전,평지마을입구,산월,진례파출소,진례농협,클레이아크김해미술관,진례백조아파트,진례중학교,돈담,강변농협,학성,당리,오룡,담안마을,담안,상평,개동,유니테크,계명티아이,서창,상우,고모,고모마을,신모,빙그레삼거리,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15A,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레,신기,소업,소업마을,퇴은마을,신기마을,신기,빙그레삼거리,신모,고모마을,고모,상우,서창,계명티아이,유니테크,개동,상평,담안,담안마을,오룡,당리,학성,강변농협,돈담,진례중학교,진례백조아파트,진례파출소,산월,평지마을입구,초전,신안,화전마을,신월마을,산본,냉정마을,윗냉정,냉정회관,냉정사터,부곡,부영13차아파트,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유우체국,장유농협,남명더라우,무계e-편한,임시계류장,무계e-편한,장유농협,장유우체국,장유1동행정복지센터,코아상가,부영2차아파트,갑을장유병원,부영13차아파트,부곡,냉정사터,냉정회관,윗냉정,냉정마을,산본,신월마을,화전마을,신안,초전,평지마을입구,산월,진례파출소,진례농협,클레이아크김해미술관,진례백조아파트,진례중학교,돈담,강변농협,학성,당리,오룡,담안마을,담안,상평,개동,유니테크,계명티아이,서창,상우,고모,고모마을,신모,빙그레삼거리,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15B,진영시외주차장,제일고등학교,진영협성휴포레,기영아파트,용전마을,제암요양병원,신용마을,신용삼거리,설창,진영역(김해행),빙그레삼거리,신모,고모마을,고모,상우,서창,계명티아이,유니테크,개동,상평,담안,담안마을,오룡,당리,학성,강변농협,돈담,진례중학교,진례백조아파트,진례파출소,산월,평지마을입구,초전,신안,화전마을,신월마을,산본,냉정마을,윗냉정,냉정회관,냉정사터,부곡,부영13차아파트,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유우체국,장유농협,남명더라우,무계e-편한,임시계류장,무계e-편한,장유농협,장유우체국,장유1동행정복지센터,코아상가,부영2차아파트,갑을장유병원,부영13차아파트,부곡,냉정사터,냉정회관,윗냉정,냉정마을,산본,신월마을,화전마을,신안,초전,평지마을입구,산월,진례파출소,진례농협,클레이아크김해미술관,진례백조아파트,진례중학교,돈담,강변농협,학성,당리,오룡,담안마을,담안,상평,개동,유니테크,계명티아이,서창,상우,고모,고모마을,신모,빙그레,신기,소업,소업마을,퇴은마을,신기마을,신기,빙그레,진영역,설창,신용삼거리,신용마을,제암요양병원,용전마을,기영아파트,진영협성휴포레,제일고등학교,진영시외주차장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,중흥에코시티후문,중흥에코시티정문,진영이진캐스빌,진영중앙초등학교,진영기업은행,진영역사공원,진영농협,진영시외주차장,진영휴먼시아 정문,진영LH6단지,센텀큐브,부평,금병초등학교,진영휴먼빌,주호,주호,진영휴먼빌,금병초등학교,부평,센텀큐브,진영LH6단지,진영휴먼시아 정문,진영시외주차장,진영농협,진영역사공원,진영자이,진영중앙초등학교,진영이진캐스빌,중흥에코시티정문,중흥에코시티후문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16A,중흥에코시티후문,중흥에코시티정문,진영이진캐스빌,진영중앙초등학교,진영기업은행,진영역사공원,진영농협,진영시외주차장,진영휴먼시아 정문,진영LH6단지,센텀큐브,부평,금병초등학교,진영휴먼빌,주호,용성,본산마을입구,본산마을,주호교,주호마을회관,주호,진영휴먼빌,금병초등학교,부평,센텀큐브,진영LH6단지,진영휴먼시아 정문,진영시외주차장,진영농협,진영역사공원,진영자이,진영중앙초등학교,진영이진캐스빌,중흥에코시티정문,중흥에코시티후문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),무접,한국1차아파트,가야고,임호초등학교,덕산아파트,대동아파트,뜨란채아파트,내외동행정복지센터,현대2차아파트,삼성아파트,현대1차아파트,김해교육지원청,김해여중,대성사거리,농협김해시지부,국민은행,신한은행,중앙지구대,금강병원,부원역,김해시청,복음병원입구,성모병원,인제대역,초선대,김해대학역,경남은행,지내동입구,활천초등학교,못안마을,안동육거리,한일여고,계내,한샘베스트빌라,신어중학교,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,어방마을,자성공원,신어볼링장,어방동,인제대역,성모병원,복음병원입구,김해시청,한솔병원,부원역,금강병원,중앙지구대,신한은행,농협김해시지부,대성사거리,김해여중,김해교육지원청,현대1차아파트,삼성아파트,가야고,임호중학교,내외동행정복지센터,뜨란채아파트,한국2차아파트,한국1차아파트,동일아파트,이마트 신세계백화점,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2-1,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),무접,한국1차아파트,가야고,임호초등학교,덕산아파트,대동아파트,뜨란채아파트,내외동행정복지센터,현대2차아파트,삼성아파트,현대1차아파트,김해교육지원청,김해여중,대성사거리,김해향교,동상동,김해천주교회,김해세무서,김해시청,복음병원입구,성모병원,인제대역,초선대,안동공단입구,안동공단,대아한일아파트,계내마을,칠암문화센터,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,어방마을,자성공원,신어볼링장,어방동,인제대역,성모병원,복음병원입구,김해시청,한솔병원,김해세무서,김해천주교회,동상동,김해향교,대성사거리,김해여중,김해교육지원청,현대1차아파트,삼성아파트,가야고,임호중학교,내외동행정복지센터,뜨란채아파트,한국2차아파트,한국1차아파트,동일아파트,이마트 신세계백화점,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
