,line_no,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
18,21,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,대법륜사,풍유동,풍유2통,명법1통,명법2통,내덕,내덕서희,남명더라우,장유농협,장유우체국,장유1동행정복지센터,장유석봉마을,월산초등학교,대동피렌체앙코르,삼문고등학교,능동삼거리,장유도서관,갑오마을,부영8차아파트,계동초등학교,덕정사거리,팔판마을1단지,대우푸르지오6차,신안교,팔판마을,관동중학교,덕정초등학교,공방마을,세영리첼아파트,장유3동행정복지센터,주공율곡마을,율상푸르지오3단지,율하푸르지오4단지,모아미래도6단지,중앙하이츠,서부문화센터,율하2지구상가,율하자이,원메이저힐스테이트,율산초등학교,율하시티프라디움,원메이저푸르지오,모산초등학교,율하자이,율하2지구상가,서부문화센터,중앙하이츠,모아미래도6단지,율하푸르지오4단지,율상푸르지오3단지,주공율곡마을,장유3동행정복지센터,세영리첼아파트,덕정초등학교,관동중학교,팔판마을,신안교,대우푸르지오6차,팔판마을1단지,덕정사거리,계동초등학교,부영8차아파트,갑오마을,장유도서관,능동삼거리,삼문고등학교,대동피렌체앙코르,월산초등학교,장유석봉마을,장유1동행정복지센터,장유우체국,장유농협,남명더라우,내덕서희,내덕,명법2통,명법1통,풍유2통,풍유동,대법륜사,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,신한은행,중앙지구대,금강병원,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21-1,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,선천교차로,선천마을,센텀두산위브,주촌서희,조만강,주촌초등학교,선천마을,선천산책로,주촌농협,지혜의바다,내삼공단입구,자현,부경축산,후포,대한가스,하손,유하,유하마을회관,외덕,장유초등학교,장유1동행정복지센터,장유우체국,무계교,쌍용예가,삼문마을,장유푸르지오8차,메가병원,대청2교,대청중학교,대청초등학교,삼문마을,쌍용예가,무계교,장유농협,대동1단지,외덕,유하마을회관,유하,하손,대한가스,후포,부경축산,자현,내삼공단입구,지혜의바다,주촌농협,선천산책로,선천마을,주촌초등학교,조만강,주촌서희,센텀두산위브,선천마을,선천교차로,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,신한은행,중앙지구대,금강병원,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21-1A,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,선천교차로,선천마을,센텀두산위브,주촌서희,조만강,주촌초등학교,선천마을,선천산책로,주촌농협,지혜의바다,내삼공단입구,자현,부경축산,후포,대한가스,하손,유하,유하마을회관,외덕,장유초등학교,장유1동행정복지센터,장유우체국,무계교,쌍용예가,삼문마을,장유푸르지오8차,메가병원,대청2교,대청중학교,대청초등학교,삼문마을,쌍용예가,무계교,장유농협,대동1단지,외덕,유하마을회관,유하,하손,대한가스,후포,부경축산,자현,내삼공단입구,내삼마을,지혜의바다,주촌농협,선천산책로,선천마을,주촌초등학교,조만강,주촌서희,센텀두산위브,선천마을,선천교차로,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,신한은행,중앙지구대,금강병원,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21-1B,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,선천교차로,선천마을,센텀두산위브,주촌서희,조만강,주촌초등학교,선천마을,선천산책로,주촌농협,지혜의바다,내삼마을,내삼공단입구,자현,부경축산,후포,대한가스,하손,유하,유하마을회관,외덕,장유초등학교,장유1동행정복지센터,장유우체국,무계교,쌍용예가,삼문마을,장유푸르지오8차,메가병원,대청2교,대청중학교,대청초등학교,삼문마을,쌍용예가,무계교,장유농협,대동1단지,외덕,유하마을회관,유하,하손,대한가스,후포,부경축산,자현,내삼공단입구,지혜의바다,주촌농협,선천산책로,선천마을,주촌초등학교,조만강,주촌서희,센텀두산위브,선천마을,선천교차로,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,신한은행,중앙지구대,금강병원,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21-1C(막차),외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,선천교차로,선천마을,센텀두산위브,주촌서희,조만강,주촌초등학교,선천마을,선천산책로,주촌농협,지혜의바다,내삼공단입구,자현,부경축산,후포,대한가스,하손,유하,유하마을회관,외덕,장유초등학교,장유1동행정복지센터,장유우체국,무계교,쌍용예가,삼문마을,장유푸르지오8차,메가병원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21A(막차),외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,금강병원,중앙지구대,신한은행,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,대법륜사,풍유동,풍유2통,명법1통,명법2통,내덕,내덕서희,남명더라우,장유농협,장유우체국,장유1동행정복지센터,장유석봉마을,월산초등학교,대동피렌체앙코르,삼문고등학교,능동삼거리,장유도서관,갑오마을,부영8차아파트,계동초등학교,덕정사거리,팔판마을1단지,대우푸르지오6차,신안교,팔판마을,관동중학교,덕정초등학교,공방마을,세영리첼아파트,장유3동행정복지센터,주공율곡마을,율상푸르지오3단지,율하푸르지오4단지,모아미래도6단지,중앙하이츠,서부문화센터,율하2지구상가,율하자이,원메이저힐스테이트,율산초등학교,율하시티프라디움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,임시계류장,무계e-편한,장유농협,장유우체국,장유1동행정복지센터,코아상가,부영2차아파트,월산3단지,월산4단지,한림리츠빌,능동삼거리,장유도서관,갑오마을,대청고등학교,대청초등학교,삼문마을,쌍용예가,하봉마을,장유중학교,신문,롯데아울렛,롯데워터파크,율하2지구입구,율하2지구상가,율하자이,원메이저푸르지오,율하시티프라디움,율산초등학교,원메이저힐스테이트,율하자이,율하2지구상가,율하2지구입구,롯데워터파크,롯데아울렛,신문,장유중학교,범동포,쌍용예가,삼문마을,대청초등학교,대청고등학교,갑오마을,장유도서관,능동삼거리,한림리츠빌,월산4단지,월산3단지,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유우체국,장유농협,남명더라우,무계e-편한,임시계류장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,220,풍유동차고지,풍유동차고지앞,농소교,한발매스테크,의생명센터,내덕,내덕서희,남명더라우,장유농협,무계교,하봉마을,장유중학교,신문,농수산물유통센터입구,롯데아울렛,롯데워터파크,용산마을,한림풀에버,관동초등학교,중앙하이츠후문,중앙하이츠,서부문화센터,율하2지구입구,장유모산마을,응달,응달마을,태정,용곡,수가마을,가동마을,가동마을입구,조만포,사구,녹산동행정복지센터,렛츠런파크입구,세산삼거리,생곡마을,용적사입구,가리새마을,성산,순아동,강서경찰서,사취등,경일고등학교입구,을숙도문화회관,하단역,하단역,을숙도(문화회관),경일고등학교입구,사취등,강서경찰서,순아동,성산,가리새마을,용적사입구,생곡마을,세산삼거리,렛츠런파크입구,녹산동행정복지센터,사구,조만포,가동마을입구,가동마을,수가마을,용곡,태정,응달마을,응달,장유모산마을,율하2지구입구,서부문화센터,중앙하이츠,중앙하이츠후문,관동초등학교,한림풀에버,용산마을,롯데워터파크,롯데아울렛,신문,장유중학교,범동포,무계교,장유농협,남명더라우,내덕서희,내덕,부산은행주촌공단,중소기업비지니스센터,한발매스테크,농소교,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,23,임시계류장,무계e-편한,내덕중학교,외덕,장유초등학교,장유석봉마을,장유고등학교,대동2단지,코아상가,장유1동행정복지센터,장유농협,무계교,하봉마을,장유중학교,신문,용산,용산마을,한림풀에버,죽림,화촌,장유3동행정복지센터,주공율곡마을,율하초등학교,농협수남지점,동원로얄듀크1차,율현주공,율하e-편한,서부문화센터,율하파출소(남명엔스퀘어),율현주공후문,뜰천,원메이저푸르지오,모산초등학교,율하자이,율하2지구상가,율하2지구입구,장유모산마을,응달,응달마을,태정,용곡,수가마을회관,용곡,태정,응달마을,응달,장유모산마을,율하2지구입구,율하2지구상가,율하자이,원메이저푸르지오,뜰천,율현주공후문,율하파출소(남명엔스퀘어),서부문화센터,율하e-편한,율현주공,동원로얄듀크1차,농협수남지점,율하초등학교,주공율곡마을,장유3동행정복지센터,화촌,죽림,한림풀에버,용산마을,용산,신문,장유중학교,범동포,무계교,장유농협,장유1동행정복지센터,코아상가,대동2단지,장유고등학교,장유석봉마을,장유초등학교,외덕,내덕중학교,무계e-편한,임시계류장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,24,임시계류장,무계e-편한,내덕중학교,외덕,장유초등학교,장유석봉마을,장유고등학교,월산중학교,주공7차아파트,월산3단지,갑을장유병원,부영2차아파트,코아상가,장유1동행정복지센터,장유농협,무계교,하봉마을,장유중학교,신문,용산,용산마을,한림풀에버,관동초등학교,중앙하이츠후문,중앙하이츠,율하e-편한,율현주공,동원로얄듀크1차,농협수남지점,율하초등학교,주공율곡마을정문,김해외국어고등학교,세영리첼정문,세영리첼아파트,장유3동행정복지센터,주공율곡마을,율상푸르지오3단지,율하푸르지오4단지,모아미래도6단지,율하중심상가,동원로얄듀크1차,율현주공,율하e-편한,중앙하이츠,중앙하이츠후문,관동초등학교,한림풀에버,용산마을,용산,신문,장유중학교,범동포,무계교,장유농협,장유1동행정복지센터,코아상가,부영2차아파트,월산3단지,주공7단지,월산중학교,장유고등학교,장유석봉마을,장유초등학교,외덕,내덕중학교,무계e-편한,임시계류장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25,롯데아울렛(기점),롯데워터파크,롯데아울렛,김해농수산물유통센터,신문,장유중학교,범동포,무계교,장유농협,대동1단지,장유초등학교,코아상가,부영2차아파트,갑을장유병원,부영13차아파트,장유출장소,부곡초등학교,주공7단지,월산중학교,장유고등학교,월산초등학교,주공아파트,젤미마을,젤미마을7단지,능동중학교,한림리츠빌,능동삼거리,장유도서관,계동,대청계곡,부영8차아파트,대청고등학교,대청초등학교,삼문2교,재영프라자사거리,메가병원,김해서부경찰서,갑오마을,부영8차앞,부영6차아파트,덕정사거리,덕정초등학교,공방마을,세영리첼아파트,장유3동행정복지센터,주공율곡마을,율상푸르지오3단지,율하푸르지오4단지,모아미래도6단지,중앙하이츠,율하e-편한,율현주공,동원로얄듀크1차,율하중심상가,중앙하이츠후문,관동초등학교,한림풀에버,용산마을,용산,농수산물유통센터입구,김해농수산물유통센터,롯데아울렛,롯데워터파크,롯데아울렛(기점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,26,롯데아울렛(기점),롯데워터파크,롯데아울렛,김해농수산물유통센터,용산,용산마을,한림풀에버,관동초등학교,중앙하이츠후문,율하중심상가,동원로얄듀크1차,율현주공,율하e-편한,중앙하이츠,모아미래도6단지,율하푸르지오4단지,율상푸르지오3단지,주공율곡마을,장유3동행정복지센터,세영리첼아파트,덕정초등학교,덕정사거리,부영9차,부영8차앞,부영8차아파트,대청계곡,계동,김해서부경찰서,메가병원,재영프라자사거리,삼문2교,대청초등학교,대청고등학교,갑오마을,장유도서관,능동삼거리,한림리츠빌,능동중학교,젤미마을4단지,젤미마을,부영11차아파트,월산초등학교,장유고등학교,월산중학교,주공7차아파트,부곡초등학교,장유출장소,부영13차아파트,갑을장유병원,부영2차아파트,코아상가,장유초등학교,대동1단지,장유농협,무계교,하봉마을,장유중학교,신문,농수산물유통센터입구,김해농수산물유통센터,롯데아울렛,롯데워터파크,롯데아울렛(기점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,풍유동차고지,풍유동차고지앞,농소교,한발매스테크,의생명센터,경부미곡처리장,명법2통,마찰,이동3통,이동2통,이동1통,화목1통,꽃샘공원,올래리골,화목2통 마을회관,칠산초등학교,칠산주민복지센터,흥동3통,흥동1통,흥동2통,흥동4통,봉황초등학교,동아그린앞,김해중부경찰서,금강병원,중앙지구대,신한은행,농협김해시지부,대성사거리,김해여중,김해교육지원청,수로왕릉역,이마트 신세계백화점,김해터미널(정문),동아그린아파트,봉황초등학교,흥동4통,흥동2통,흥동1통,흥동3통,칠산주민복지센터,칠산초등학교,화목2통 마을회관,올래리골,꽃샘공원,화목1통,이동1통,이동2통,이동3통,마찰,명법2통,명법2통,부산은행주촌공단,중소기업비지니스센터,한발매스테크,농소교,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3-1,외동차고지,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,김해천주교회,김해세무서,부원역,김해중부경찰서,동아그린아파트,봉황초등학교,흥동4통,흥동2통,흥동1통,흥동3통,칠산초등학교,칠산참외정보화마을,화목2통,바람개비공원,화목1통,이동1통,이동3통,김해농수산물유통센터,롯데아울렛,롯데워터파크,용산마을,한림풀에버,관동초등학교,중앙하이츠후문,모아미래도6단지,율하푸르지오4단지,율상푸르지오3단지,율하초등학교,농협수남지점,동원로얄듀크1차,율현주공,율하e-편한,서부문화센터,율하2지구상가,율하자이,원메이저힐스테이트,율산초등학교,율하시티프라디움,원메이저푸르지오,모산초등학교,율하자이,율하2지구상가,율하e-편한,율현주공,동원로얄듀크1차,농협수남지점,율하초등학교,율상푸르지오3단지,율하푸르지오4단지,모아미래도6단지,중앙하이츠후문,관동초등학교,한림풀에버,용산마을,롯데워터파크,롯데아울렛,김해농수산물유통센터,이동3통,이동1통,화목1통,바람개비공원,화목2통,칠산참외정보화마을,칠산초등학교,흥동3통,흥동1통,흥동2통,흥동4통,봉황초등학교,동아그린앞,김해중부경찰서,부원역,김해세무서,김해천주교회,동상동,분성사거리,수로왕릉,김해도서관,이마트 신세계백화점,외동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3-1A(막차),외동차고지,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,김해천주교회,김해세무서,부원역,김해중부경찰서,동아그린아파트,봉황초등학교,흥동4통,흥동2통,흥동1통,흥동3통,칠산초등학교,칠산참외정보화마을,화목2통,바람개비공원,화목1통,이동1통,이동3통,김해농수산물유통센터,롯데아울렛,롯데워터파크,용산마을,한림풀에버,관동초등학교,중앙하이츠후문,모아미래도6단지,율하푸르지오4단지,율상푸르지오3단지,율하초등학교,농협수남지점,동원로얄듀크1차,율현주공,율하e-편한,서부문화센터,율하2지구상가,율하자이,원메이저힐스테이트,율산초등학교,율하시티프라디움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30,풍유동차고지,풍유동차고지앞,풍유동,청호아트빌,흥동3통,흥동1통,흥동2통,흥동4통,봉황초등학교,동아그린앞,봉황역,김해중부경찰서,부원역,김해세무서,김해천주교회,동상동,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,주촌두산위브,동선마을,서선마을,주촌농협,연지마을,내선,원지,대리,석칠마을회관,석칠,국계,옥천,용곡,덕암아랫마을,덕암,옥천소류지,옥천소류지,덕암,덕암아랫마을,용곡,옥천,국계,석칠,석칠마을회관,대리,원지,내선,연지마을,주촌농협,서선마을,동선마을,주촌두산위브,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,김해천주교회,김해세무서,부원역,김해중부경찰서,김해터미널(남문),동아그린아파트,봉황초등학교,흥동4통,흥동2통,흥동1통,흥동3통,느타리공원,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30-1,외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,부원역,김해세무서,김해천주교회,동상동,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,주촌두산위브,동선마을,내선마을입구,내선,내연마을회관,옥천마을회관,덕암산업단지,옥천소류지,덕암,덕암아랫마을,용곡,옥천,국계,석칠,석칠마을회관,대리,원지,내선,내선마을입구,동선마을,주촌두산위브,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,김해천주교회,김해세무서,부원역,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30-1A(막차),외동차고지(종점),이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,부원역,김해세무서,김해천주교회,동상동,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,건강생활지원센터,주촌두산위브,동선마을,내선마을입구,내선,내연마을회관,옥천마을회관,덕암산업단지,점골마을,점골못,점골마을,옥천소류지,덕암,용곡,옥천,국계,석칠,석칠마을회관,대리,원지,내선,내선마을입구,동선마을,주촌두산위브,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,김해천주교회,김해세무서,부원역,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,300,외동차고지,김해보건소,이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,부원역,쇠내마을,옥천마을회관,병동농공단지입구,어병마을,서원병동마트,빙그레,진영역,설창,본산2로,금봉마을입구,봉하삼거리,봉하입구,봉하,봉하입구,봉하삼거리,금봉마을입구,본산농공단지입구,본산,용화사,본산공단입구,설창,진영역(김해행),빙그레,신기,서원병동마트,어병마을,병동농공단지입구,옥천마을회관,쇠내마을,부원역,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,300A,외동차고지,김해보건소,이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,부원역,쇠내마을,옥천마을회관,병동농공단지입구,서원병동마트,빙그레,진영역,설창,본산2로,금봉마을입구,봉하삼거리,본산농공단지입구,본산,용화사,본산공단입구,설창,진영역(김해행),빙그레,신기,서원병동마트,병동농공단지입구,옥천마을회관,쇠내마을,부원역,김해중부경찰서,김해터미널(남문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
